"term","std.error","estimate","p.value"
"(Intercept)",0.0606471873084152,-2.60504622937689,0
"CountryAngola",1.21576127863978,-0.719548437183676,0.553981287680198
"CountryArgentina",1.21549619024047,0.340182843591803,0.779589146343634
"CountryArmenia",1.21636084158437,0.665129472440318,0.584530592861725
"CountryAustralia",0.120959326650213,-0.695787809890353,9.40179183418588e-09
"CountryAustria",0.544074032426011,-0.019934639470068,0.970774048322827
"CountryBelarus",0.24520025835752,0.126795646843552,0.605104886919259
"CountryBelgium",0.167713803419398,-0.10738552752373,0.522017104797395
"CountryBhutan",0.551321096075219,-1.26084749955094,0.0222454808167682
"CountryBrazil",0.860854173258395,-0.181706376465909,0.832837060100709
"CountryBulgaria",1.21448480813241,-0.778555669081838,0.521518039862629
"CountryCabo Verde",0.864724197471194,-1.49890096183166,0.0830969031782493
"CountryCanada",0.0777035824741355,0.346395046111295,8.48191485663812e-06
"CountryCaribbean",1.21569603634373,-4.58700566835435,0.000163312672726006
"CountryChile",0.860080819229714,0.33949885984067,0.693061958482198
"CountryChina",0.432317803951035,-1.07757584057546,0.012719168179959
"CountryCuba",0.609472334364942,-2.15449007477981,0.00041194604003329
"CountryCyprus",0.860115208082885,0.441701065368654,0.607601378484125
"CountryDenmark",0.159135527817658,-0.352268192872779,0.0269047554914586
"CountryEcuador",1.21550896278463,-1.19529199916989,0.325480513006838
"CountryEstonia",0.298305225568556,0.195122204642064,0.513079831529197
"CountryFinland",1.21448480813241,0.221444330918139,0.855327404692912
"CountryFrance",0.158507253068828,-0.833239142270651,1.53517531279005e-07
"CountryGermany",0.460596497875901,-1.54289292981686,0.000815571526276629
"CountryGreece",0.171322008401695,0.157410356563674,0.358251338295344
"CountryGuinea",1.21573078011967,-2.91602138891959,0.0165002661678617
"CountryGuinea-Bissau",0.253001673908044,-1.23638043384416,1.06097437656603e-06
"CountryHungary",0.608273402693324,-0.707363766444451,0.244931204515791
"CountryIceland",0.543862360477769,-0.419138904103046,0.44094327120905
"CountryIndia",0.266889238228781,-0.812832228855962,0.00233604221388339
"CountryIndonesia",0.544659670958061,-1.91175464091982,0.000452586991485033
"CountryIreland",0.198869125742765,1.02961966134813,2.350426947151e-07
"CountryItaly",0.232479398463547,-3.78089750294327,8.36159624631454e-58
"CountryIvory Coast",0.860418574575865,-1.30227146524132,0.130216066721897
"CountryJamaica",0.860177939862226,-1.75182250168456,0.041751570044201
"CountryJapan",0.0811276533732126,-0.318003394541102,8.99693903011799e-05
"CountryLatvia",0.385556467998193,0.515433172978519,0.181338814579707
"CountryMalaysia",0.860572629811468,-1.6480313029823,0.0555519340351976
"CountryMalta",0.275259920563921,-1.70863843065088,5.88325610946713e-10
"CountryMorocco",0.70191496113565,-1.7324920992308,0.0136156978552056
"CountryNetherlands",0.15516986544554,-0.81567514331302,1.53624750279412e-07
"CountryNew Zealand",0.0696431433516642,-0.584196796478787,6.55399120386255e-17
"CountryNorway",0.255292480626627,-0.110422089759793,0.665376155486676
"CountryPakistan",0.32642329560905,-0.426900844650321,0.191004642929584
"CountryPhilipines",1.21448480813241,-0.778555669081849,0.521518039862623
"CountryPhilippines",0.338694742849023,-1.46396126941366,1.57768442527531e-05
"CountryPoland",0.213539831096073,-0.77383949836488,0.000293502664413689
"CountryPortugal",0.128092298966051,-0.46811140672956,0.00026069488139362
"CountryRomania",1.21573078011967,-1.43958334497661,0.23642536221424
"CountryRussia",0.38540218195463,0.203380178310097,0.59772789540005
"CountrySaudi Arabia",1.21448480813241,-2.74433995374394,0.0238900430932579
"CountryScotland",0.860878940408686,-0.539119213429148,0.531188106552436
"CountrySlovakia",0.460132872979957,0.160533834297222,0.727191676218305
"CountrySlovenia",0.249845056424427,-0.360267996856533,0.149383016443417
"CountrySouth Africa",0.702036024387457,-1.4511159233883,0.0387913364700934
"CountrySpain",0.113725594923544,-0.163668738881302,0.150177583825551
"CountrySweden",0.167601475584871,-0.381995035873556,0.0227035166528145
"CountryTanzania",0.860589356688017,-1.6952919991699,0.0489100026043272
"CountryThailand",0.250329959796285,-1.47126456666832,4.47736768990666e-09
"CountryThe Gambia",0.545749375551377,-1.62109137759369,0.0029901958931955
"CountryTurkey",0.608745655206714,-1.1476793441517,0.0594525101588511
"CountryUganda",1.21716939058155,-1.98357142558204,0.10324489239984
"CountryUK",0.0700832090394778,-0.522292984907215,1.09620734537964e-13
"CountryUnmapped",1.21528799784638,1.23881855870946,0.308086958428161
"CountryVietnam",0.497194611536412,-0.202908506600112,0.683215059995655
"MtrR_39T",0.0637079785930711,0.0788452896914108,0.215928537631831
"MtrR_39Unmapped",0.283746615459711,0.299239538325205,0.291665461254821
"MtrR_45D",0.0622929385766654,0.366227670667431,4.4288268865632e-09
"MtrR_45Unmapped",0.351998824605397,0.27337808108223,0.43740994633882
"mtr_promoter-",0.057753679492634,1.38360189845874,2.41850383542423e-119
"mtr_promoterG",1.21547277915162,1.6050462293769,0.18673265536643
"mtr_promoterUnmapped",0.18258295473665,0.992147630971046,5.80873126924863e-08
"mtrRtruncated",0.0804760865918584,-0.0245785690794255,0.760064833685618
"mtrRUnmapped",1.27868649518422,-3.08291366222735,0.0159494384333557
"Mosaic_Mtr_BAPS-2147483648",0.481079652526699,0.203833924237623,0.671804544058425
"Mosaic_Mtr_BAPS1",0.0821690794486174,1.18601809609369,3.51694754019237e-46
"Mosaic_Mtr_BAPS2",0.321931225436023,1.95706448745917,1.31032962151816e-09
"Mosaic_Mtr_BAPS3",0.378743164205452,2.19774779908206,6.98071490112749e-09
"Mosaic_Mtr_BAPS4",0.312401532960842,2.47948576338979,2.60925466698377e-15
"Mosaic_Mtr_BAPS5",0.408693450334806,0.757637904559708,0.0638337682837573
"Mosaic_Mtr_BAPS6",0.398146139459628,1.7904546472371,7.06950690426872e-06
"Mosaic_Mtr_BAPS7",0.641133348376299,-0.171039574861639,0.789653396554693
"Mosaic_Mtr_BAPS8",0.29348513209488,1.04980086223958,0.000351267700186444
"Mosaic_Mtr_BAPS9",0.0590012523553118,-0.165446056115299,0.00506761110987522
"Mosaic_Mtr_BAPS10",0.0735580292010343,-0.456011919394561,6.18803371247622e-10
"Mosaic_Mtr_BAPS12",0.279129352068585,1.56366642407895,2.24851412217425e-08
"rRNA23S_2059",0.0493396006493165,2.51176100218875,0
"rRNA23S_2611",0.0204137085950556,1.14247164593083,0
"MtrCLOF",0.0978917377347005,-2.59306068752861,1.28675664393414e-143
"RplD_G70D1",0.0909889548556932,1.14444903182014,1.1357545644936e-35
"RplD_G70DUnmapped",1.30785171164673,0.181279145561837,0.889765982446293
"RplD_G68.A72_other_mutations1",0.213750495611138,1.29424042402002,1.52167807493782e-09
