"term","std.error","estimate","p.value"
"(Intercept)",0.0606471873084153,-2.6050462293769,0
"CountryAngola",1.21576127863978,-0.719548437183626,0.553981287680225
"CountryArgentina",1.21549619024047,0.340182843591774,0.779589146343653
"CountryArmenia",1.21636084158437,0.665129472440267,0.584530592861754
"CountryAustralia",0.120959326650213,-0.695787809890346,9.40179183418891e-09
"CountryAustria",0.544074032426011,-0.0199346394700734,0.97077404832282
"CountryBelarus",0.24520025835752,0.126795646843546,0.605104886919276
"CountryBelgium",0.167713803419397,-0.107385527523729,0.522017104797399
"CountryBhutan",0.551321096075219,-1.26084749955094,0.0222454808167687
"CountryBrazil",0.860854173258395,-0.181706376465909,0.832837060100709
"CountryBulgaria",1.21448480813241,-0.778555669081842,0.521518039862627
"CountryCabo Verde",0.864724197471194,-1.49890096183168,0.0830969031782449
"CountryCanada",0.0777035824741353,0.34639504611133,8.48191485661993e-06
"CountryCaribbean",1.21569603634373,-4.58700566835435,0.000163312672726001
"CountryChile",0.860080819229714,0.339498859840621,0.69306195848224
"CountryChina",0.432317803951035,-1.07757584057546,0.0127191681799587
"CountryCuba",0.609472334364942,-2.15449007477978,0.000411946040033386
"CountryCyprus",0.860115208082885,0.441701065368705,0.607601378484083
"CountryDenmark",0.159135527817658,-0.352268192872791,0.0269047554914536
"CountryEcuador",1.21550896278463,-1.19529199916987,0.325480513006846
"CountryEstonia",0.298305225568556,0.195122204642055,0.513079831529216
"CountryFinland",1.21448480813241,0.221444330918144,0.855327404692909
"CountryFrance",0.158507253068828,-0.833239142270656,1.53517531278979e-07
"CountryGermany",0.460596497875901,-1.54289292981685,0.000815571526276697
"CountryGreece",0.171322008401695,0.157410356563668,0.358251338295359
"CountryGuinea",1.21573078011967,-2.91602138891958,0.0165002661678623
"CountryGuinea-Bissau",0.253001673908044,-1.23638043384416,1.06097437656603e-06
"CountryHungary",0.608273402693324,-0.70736376644445,0.244931204515792
"CountryIceland",0.543862360477769,-0.419138904103035,0.440943271209062
"CountryIndia",0.266889238228781,-0.812832228855949,0.00233604221388377
"CountryIndonesia",0.544659670958061,-1.91175464091985,0.000452586991484957
"CountryIreland",0.198869125742765,1.02961966134813,2.35042694715106e-07
"CountryItaly",0.232479398463547,-3.78089750294326,8.36159624631933e-58
"CountryIvory Coast",0.860418574575865,-1.30227146524131,0.130216066721899
"CountryJamaica",0.860177939862226,-1.75182250168454,0.0417515700442037
"CountryJapan",0.0811276533732125,-0.318003394541103,8.99693903011761e-05
"CountryLatvia",0.385556467998193,0.515433172978536,0.181338814579693
"CountryMalaysia",0.860572629811468,-1.64803130298232,0.0555519340351942
"CountryMalta",0.275259920563921,-1.70863843065088,5.88325610946713e-10
"CountryMorocco",0.70191496113565,-1.73249209923083,0.0136156978552043
"CountryNetherlands",0.15516986544554,-0.815675143313028,1.53624750279365e-07
"CountryNew Zealand",0.0696431433516642,-0.584196796478788,6.55399120386216e-17
"CountryNorway",0.255292480626627,-0.110422089759789,0.665376155486689
"CountryPakistan",0.326423295609051,-0.426900844650339,0.191004642929565
"CountryPhilipines",1.21448480813241,-0.778555669081815,0.521518039862642
"CountryPhilippines",0.338694742849023,-1.46396126941367,1.57768442527502e-05
"CountryPoland",0.213539831096073,-0.773839498364876,0.000293502664413709
"CountryPortugal",0.128092298966051,-0.468111406729562,0.000260694881393604
"CountryRomania",1.21573078011967,-1.43958334497657,0.236425362214251
"CountryRussia",0.38540218195463,0.203380178310089,0.597727895400064
"CountrySaudi Arabia",1.21448480813241,-2.74433995374395,0.0238900430932573
"CountryScotland",0.860878940408686,-0.53911921342917,0.531188106552419
"CountrySlovakia",0.460132872979957,0.160533834297237,0.727191676218281
"CountrySlovenia",0.249845056424427,-0.360267996856536,0.149383016443414
"CountrySouth Africa",0.702036024387457,-1.45111592338831,0.0387913364700927
"CountrySpain",0.113725594923544,-0.163668738881305,0.150177583825543
"CountrySweden",0.167601475584871,-0.381995035873565,0.0227035166528115
"CountryTanzania",0.860589356688017,-1.69529199916987,0.0489100026043305
"CountryThailand",0.250329959796285,-1.47126456666833,4.47736768990598e-09
"CountryThe Gambia",0.545749375551377,-1.62109137759369,0.00299019589319546
"CountryTurkey",0.608745655206714,-1.14767934415172,0.0594525101588466
"CountryUganda",1.21716939058155,-1.98357142558206,0.103244892399838
"CountryUK",0.0700832090394779,-0.522292984907233,1.09620734537765e-13
"CountryUnmapped",1.21528799784638,1.23881855870945,0.308086958428165
"CountryVietnam",0.497194611536412,-0.202908506600103,0.68321505999567
"MtrR_39T",0.0637079785930711,0.0788452896914094,0.215928537631839
"MtrR_39Unmapped",0.283746615459711,0.299239538325207,0.291665461254818
"MtrR_45D",0.0622929385766655,0.36622767066743,4.42882688656356e-09
"MtrR_45Unmapped",0.351998824605397,0.273378081082228,0.437409946338824
"mtr_promoter-",0.0577536794926339,1.38360189845874,2.41850383542327e-119
"mtr_promoterG",1.21547277915162,1.6050462293769,0.186732655366427
"mtr_promoterUnmapped",0.18258295473665,0.992147630971039,5.80873126924984e-08
"mtrRtruncated",0.0804760865918584,-0.0245785690794249,0.760064833685624
"mtrRUnmapped",1.27868649518422,-3.0829136622273,0.0159494384333574
"Mosaic_Mtr_BAPS-2147483648",0.481079652526699,0.203833924237623,0.671804544058426
"Mosaic_Mtr_BAPS1",0.0821690794486174,1.18601809609369,3.51694754019202e-46
"Mosaic_Mtr_BAPS2",0.321931225436023,1.95706448745917,1.31032962151803e-09
"Mosaic_Mtr_BAPS3",0.378743164205452,2.19774779908206,6.98071490112717e-09
"Mosaic_Mtr_BAPS4",0.312401532960842,2.47948576338979,2.60925466698372e-15
"Mosaic_Mtr_BAPS5",0.408693450334806,0.757637904559707,0.0638337682837576
"Mosaic_Mtr_BAPS6",0.398146139459628,1.79045464723711,7.06950690426817e-06
"Mosaic_Mtr_BAPS7",0.641133348376299,-0.171039574861616,0.789653396554721
"Mosaic_Mtr_BAPS8",0.29348513209488,1.04980086223958,0.000351267700186459
"Mosaic_Mtr_BAPS9",0.0590012523553119,-0.1654460561153,0.00506761110987516
"Mosaic_Mtr_BAPS10",0.0735580292010343,-0.456011919394559,6.18803371247745e-10
"Mosaic_Mtr_BAPS12",0.279129352068585,1.56366642407896,2.24851412217401e-08
"rRNA23S_2059",0.0493396006493166,2.51176100218875,0
